x,y,z
14.399999999999999,1.75,0.0
14.399999999999999,2.0,0.0
14.399999999999999,2.25,0.0
14.399999999999999,2.5,0.0
14.399999999999999,2.75,0.0
14.399999999999999,3.0,0.0
14.399999999999999,3.25,0.0
14.399999999999999,3.5,0.0
14.399999999999999,3.75,0.0
14.399999999999999,4.0,0.0
14.399999999999999,4.25,0.0
14.399999999999999,4.5,0.0
14.399999999999999,4.75,0.0
14.399999999999999,5.0,0.0
15.200000000000003,0.0,0.0
15.200000000000003,0.25,0.0
15.200000000000003,0.5,0.0
15.200000000000003,0.75,0.0
15.200000000000003,1.0,0.0
15.200000000000003,1.25,0.0
15.200000000000003,1.5,0.0
15.200000000000003,1.75,0.0
15.200000000000003,2.0,0.0
15.200000000000003,2.25,0.0
15.200000000000003,2.5,0.0
15.200000000000003,2.75,0.0
15.200000000000003,3.0,0.0
